recipe_id,recipe_name,aver_rate,image_url,review_nums,calories,fat,carbohydrates,protein,cholesterol,sodium,fiber,ingredients_list
1,Butter Chicken,4,https://media.istockphoto.com/id/1461543694/photo/close-up-view-of-a-bowl-of-chicken-butter-masala-an-indian-food-served-on-red-table.jpg?s=612x612&w=0&k=20&c=Bahs-07olVnO-5K-R0hMMkoD24kbVKbzrfE9tvAD-Ao=,1392,472,19,44,31,20,577,2,"['chicken, yogurt, cream, butter, tomato puree, onions, garlic, ginger, and spices like garam masala, cumin, turmeric, and chili powder']"
2,Palak Paneer,4.4,https://media.istockphoto.com/id/2161881770/photo/food-photos-various-entrees-appetizers-deserts-etc.jpg?s=612x612&w=0&k=20&c=JewHbJWiSgClAbIcPfQeVYUCdQoAd8CBoyKpKrPIXZc=,876,282,10,34,35,179,640,7,sample ingredients list
3,Chole Bhature,4.1,https://media.istockphoto.com/id/873539518/photo/deep-fried-bread-spicy-chickpeas-curry-and-salad.jpg?s=612x612&w=0&k=20&c=S3YF4G2hCVQCccnjC0Q_Q4RXmR2vQmzDOcvdVwOjgLU=,1002,346,16,51,16,139,540,6,sample ingredients list
4,Biryani,4.8,https://media.istockphoto.com/id/501150349/photo/chicken-biryani-11.jpg?s=612x612&w=0&k=20&c=w6mDnUx8MnH3rnP9bR0VfWRwrODcbTz-6U07o3Zrs4o=,955,379,15,17,5,68,303,6,sample ingredients list
5,Dal Makhani,4.1,https://media.istockphoto.com/id/1170374719/photo/dal-makhani-at-dark-background.jpg?s=612x612&w=0&k=20&c=49yLaUAE2apakVk2AAiRQimZd98WtSjIQ0hzCzWsmns=,873,344,25,59,16,153,662,4,sample ingredients list
6,Rajma,4.9,https://media.istockphoto.com/id/1059505988/photo/indian-style-spicy-rajma-curry-kidney-beans-curry.jpg?s=612x612&w=0&k=20&c=lev8SRSKQxEETaiM4VtUJN0EmFFNw7RPOX3jHS92Z24=,953,261,20,47,23,129,369,3,sample ingredients list
7,Aloo Gobi,4.3,https://media.istockphoto.com/id/1197580770/photo/aalo-gobi-ki-sabzi.jpg?s=612x612&w=0&k=20&c=U1UFmps8gRCG7yskIwxDjeKafIpGq1TBYpl0iqMLd20=,245,477,9,53,17,28,213,5,sample ingredients list
8,Paneer Tikka,4.5,https://media.istockphoto.com/id/618362976/photo/traditional-potato-pancakes.jpg?s=612x612&w=0&k=20&c=xDmjXt2cPz3g5bPBEyKb24AlUGYOZm0WempNWSd7Grw=,1014,208,22,25,18,160,507,4,sample ingredients list
9,Chicken Curry,4.3,https://media.istockphoto.com/id/1280147779/photo/chicken-curry-iftari.jpg?s=612x612&w=0&k=20&c=THJNS9HlSd41bMK07p8fltRYbt_ez8Tdu7YHEm2xtZs=,283,276,10,22,10,74,207,5,sample ingredients list
10,Fish Fry,4.4,https://media.istockphoto.com/id/1295772368/photo/macher-jhol-in-black-bowl-on-dark-slate-table-top-indian-cuisine-bengali-fish-curry-asian.jpg?s=612x612&w=0&k=20&c=3asIIURIgisLwXAijZnmNY3p2EWEZEHzByjk7ke9xZk=,258,321,19,44,10,94,788,3,sample ingredients list
11,Masala Dosa,4.7,https://media.istockphoto.com/id/909906350/photo/masala-dosa-south-indian-food.jpg?s=612x612&w=0&k=20&c=3CI-bw2NhYaX_t0-CZIXIIXsOygFcUaoGSmzbnVB-fU=,422,289,8,26,7,21,500,8,sample ingredients list
12,Idli,4.3,https://media.istockphoto.com/id/638506124/photo/idli-with-coconut-chutney-and-sambhar.jpg?s=612x612&w=0&k=20&c=ze1ngBM0LY4w9aqWx_tGe2vTAr4uf36elveTDZ83fgw=,1132,453,12,24,22,53,497,6,sample ingredients list
13,Sambar,5,https://media.istockphoto.com/id/1391459257/photo/south-indian-famous-rasam-sambar-served-in-a-traditional-mud-pot-closeup-with-selective-focus.jpg?s=612x612&w=0&k=20&c=_v5h_EG3m-UARM5HI8BxjaNg1INlDlLJ8nWCiUwLOG4=,756,284,10,22,7,154,550,6,sample ingredients list
14,Gulab Jamun,4.2,https://media.istockphoto.com/id/668147754/photo/gulab-jamun.jpg?s=612x612&w=0&k=20&c=yM8YjrafVCS6SLTEWQH4s2FVduHnAzfkUIR-KkWI7Z0=,539,478,24,25,14,68,219,3,sample ingredients list
15,Kheer,4.2,https://media.istockphoto.com/id/980089086/photo/rice-pudding-or-kheer-from-india-called-also-called-firnee-served-in-a-bowl-selective-focus.jpg?s=612x612&w=0&k=20&c=k69t8VUFXzoAzQcn0qxdPRdO1BHRqR36gGWpd5PhJ6g=,575,314,21,54,22,19,410,8,"['rice, milk, and sugar']"
16,Pav Bhaji,5,https://media.istockphoto.com/id/467654275/photo/pav-bahji-indian-snack-made-of-vegetables-with-bread.jpg?s=612x612&w=0&k=20&c=Sjxi5Z1Jd5mubhd5ZoSGFNA4zJzT6MwRAZ9N06LuClA=,355,232,14,40,11,126,583,7,sample ingredients list
17,Tandoori Chicken,4.8,https://media.istockphoto.com/id/995903748/photo/smoked-and-spicy-tandoori-chicken-grilling-with-smoke.jpg?s=612x612&w=0&k=20&c=xq_apF2Osk5HYFOgBS9crRi1puLozxyGWFuCUV0mhYg=,1345,340,12,38,31,81,272,2,sample ingredients list
18,Shahi Paneer,4.8,https://media.istockphoto.com/id/1085155394/photo/malai-or-achari-paneer-in-a-gravy-made-using-red-gravy-and-green-capsicum-served-in-a-bowl.jpg?s=612x612&w=0&k=20&c=BULxHk38rN7HJsYb78ZZTrg4U9nFYeu9wOEGd3bqjy4=,1219,448,7,21,28,17,317,3,sample ingredients list
19,Chana Masala,4.5,https://media.istockphoto.com/id/669466116/photo/spicy-chick-peas-curry-or-chola-masala-or-chana-masala-or-chole-bhature-or-choley-garnished.jpg?s=612x612&w=0&k=20&c=eNdRZ8WGf4Z9SwS89_4XaoLCOe_bVj1MYedvK6gHHG8=,1208,329,12,38,27,103,387,4,sample ingredients list
20,Vegetable Pulao,4.5,https://media.istockphoto.com/id/179085494/photo/indian-biryani.jpg?s=612x612&w=0&k=20&c=VJAUfiuavFYB7PXwisvUhLqWFJ20-9m087-czUJp9Fs=,1176,287,9,39,11,124,348,8,sample ingredients list
21,pizza,4.5,https://media.istockphoto.com/id/1303119992/photo/pizza_margerita.jpg?s=612x612&w=0&k=20&c=0HZZMC10ySBYvMVAKUNzknkQ1E74q8NKwTV5_K6WK6M=,1014,208,22,25,18,160,507,4,sample ingredients list
